source,run_num,dl,output,log_name,num_cases
model_specialized_gru_41-2.59.h5,1,0.365826487,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,2,0.342934957,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,3,0.367037464,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,4,0.374898673,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,5,0.393747075,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,6,0.364532262,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,7,0.372413705,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,8,0.365815438,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,9,0.368237393,outputs/20200804_142204829211,Production,55
ConsultaDataMining201618_training.bpmn,0,0.867011185,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,1,0.855967977,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,2,0.88187279,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,3,0.88537481,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,4,0.851908376,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,5,0.870704053,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,6,0.869698809,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,7,0.869106092,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,8,0.864431986,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,9,0.862729995,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,0,0.565301398,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,1,0.560041887,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,2,0.571126228,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,3,0.568995654,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,4,0.563665281,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,5,0.547916667,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,6,0.569647581,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,7,0.576862875,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,8,0.562106324,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,9,0.561701625,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,0,0.541685563,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,1,0.545516818,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,2,0.552683296,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,3,0.534108088,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,4,0.536441799,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,5,0.539451058,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,6,0.551785714,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,7,0.555702003,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,8,0.552291194,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,9,0.543206727,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,0,0.548386358,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,1,0.580919312,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,2,0.575125976,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,3,0.586583522,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,4,0.581613757,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,5,0.577472285,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,6,0.5835097,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,7,0.571182918,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,8,0.562726757,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,9,0.560690665,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,0,0.590543546,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,1,0.577983205,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,2,0.567354999,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,3,0.580493641,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,4,0.58226096,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,5,0.570146966,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,6,0.582689351,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,7,0.564195956,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,8,0.583335695,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,9,0.579668997,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,0,0.584991497,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,1,0.58041462,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,2,0.58978647,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,3,0.590550202,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,4,0.570794412,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,5,0.57788722,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,6,0.561279891,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,7,0.594795102,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,8,0.588616465,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,9,0.573410094,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,0,0.573837868,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,1,0.588562628,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,2,0.575876108,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,3,0.588753001,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,4,0.573419785,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,5,0.586300505,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,6,0.581627929,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,7,0.583838813,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,8,0.580260359,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,9,0.578547808,outputs/20200805_185852129224,ConsultaDataMining201618,252
PurchasingExample_training.bpmn,0,0.564057854,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,1,0.568175346,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,2,0.5678087,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,3,0.563726185,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,4,0.565274732,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,5,0.567161838,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,6,0.56035395,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,7,0.567788318,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,8,0.563043028,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,9,0.566478972,outputs/20200805_185852128833,PurchasingExample,173
