source,run_num,els,output,log_name,num_cases
model_specialized_gru_37-2.50.h5,7,0.307541377,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,8,0.326221505,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,9,0.307862641,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,0,0.355808824,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,1,0.339438759,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,2,0.320864989,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,3,0.33972523,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,4,0.344362754,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,5,0.364167047,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,6,0.338372452,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,7,0.349714877,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,8,0.338569145,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,9,0.343277225,outputs/20200804_142204829211,Production,55
ConsultaDataMining201618_training.bpmn,0,0.849531575,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,1,0.817609341,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,2,0.858266621,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,3,0.863563791,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,4,0.827077233,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,5,0.853587895,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,6,0.837147713,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,7,0.843448789,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,8,0.839080824,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,9,0.845665334,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,0,0.560338601,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,1,0.557498758,outputs/20200805_185852129224,ConsultaDataMining201618,252
