source,run_num,mae_log,output,log_name,num_cases
model_specialized_gru_41-2.59.h5,6,258195.2171,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,7,235597.5151,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,8,221418.6461,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,9,234353.0276,outputs/20200804_142204829211,Production,55
ConsultaDataMining201618_training.bpmn,0,430678.1586,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,1,430317.2145,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,2,430456.8314,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,3,430480.6373,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,4,430280.4886,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,5,430497.3657,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,6,430350.1491,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,7,429882.107,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,8,430530.084,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,9,430177.4956,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,0,367368.2063,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,1,370130.5437,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,2,371152.8056,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,3,369488.881,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,4,368493.6032,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,5,366415.6349,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,6,374422.1429,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,7,372474.9841,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,8,367267.4008,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,9,369420.7659,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,0,333895.4492,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,1,334129.2713,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,2,339608.7122,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,3,334688.9361,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,4,334620.7306,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,5,328949.9435,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,6,337927.6594,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,7,330548.9399,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,8,337474.4334,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,9,341736.486,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,0,433430.1588,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,1,433426.289,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,2,433429.9161,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,3,433427.3296,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,4,433428.9043,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,5,433428.9942,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,6,433431.0499,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,7,433429.5875,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,8,433431.2699,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,9,433426.5958,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,0,429988.2437,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,1,429555.2483,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,2,429968.5971,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,3,429586.2659,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,4,429987.9006,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,5,429166.2106,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,6,429571.867,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,7,429554.8338,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,8,429983.9818,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,9,429966.2529,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,0,418566.2774,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,1,417999.6617,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,2,418564.2555,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,3,418474.6887,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,4,418368.8543,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,5,418948.6297,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,6,419147.504,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,7,419145.9472,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,8,418186.9465,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,9,418656.8643,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,0,348758.0675,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,1,354136.869,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,2,349110.369,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,3,355372.5595,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,4,344663.8611,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,5,360699.8849,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,6,352908.7262,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,7,368207.5952,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,8,357153.7143,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,9,354154.996,outputs/20200805_185852129224,ConsultaDataMining201618,252
PurchasingExample_training.bpmn,0,2690802.946,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,1,2696896.596,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,2,2715441.89,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,3,2688398.92,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,4,2690144.108,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,5,2731984.093,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,6,2629733.516,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,7,2687474.096,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,8,2657210.78,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,9,2706425.092,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,0,2457733.273,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,1,2455532.833,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,2,2458530.432,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,3,2466299.459,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,4,2471014.402,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,5,2475593.137,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,6,2462532.894,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,7,2461605.675,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,8,2455407.418,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,9,2468049.189,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,0,2310802.889,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,1,2317559.982,outputs/20200805_185852128833,PurchasingExample,173
